"Arquivo";"StatusArquivo";"ChavesTribo";"ChavesDeepSeek";"Iguais";"Diferentes";"SomenteTribo";"SomenteDeepSeek";"TriboPreenchidoDeepVazio";"TriboVazioDeepPreenchido";"AmbosPreenchidosDiferentes";"PT_Tribo_Heuristico";"PT_DeepSeek_Heuristico";"EN_Tribo_Heuristico";"EN_DeepSeek_Heuristico"
"ArtDealer_MS.int";"DeepSeek adiciona conte̼do onde Tribo estava vazia";"25";"25";"24";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"AssassinsTraining_MS.int";"Diferen̤as para reviṣo";"11";"11";"3";"8";"0";"0";"0";"0";"8";"0";"6";"3";"0"
"AudioGraph_Assets.int";"Id̻ntico";"14";"14";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"AudioGraph_Twk.int";"Diferen̤as para reviṣo";"165";"165";"75";"90";"0";"0";"0";"0";"90";"86";"89";"1";"3"
"BendTimeMassacre_MS_Tweak.int";"Diferen̤as para reviṣo";"14";"14";"4";"10";"0";"0";"0";"0";"10";"0";"3";"2";"0"
"Blueprints_twk.int";"Diferen̤as para reviṣo";"56";"56";"49";"7";"0";"0";"0";"0";"7";"7";"7";"0";"0"
"Blueprints_twk_Abst.int";"Diferen̤as para reviṣo";"27";"27";"9";"18";"0";"0";"0";"0";"18";"18";"16";"0";"0"
"Boyle_AbstractInv_Assets.int";"Diferen̤as para reviṣo";"62";"62";"60";"2";"0";"0";"0";"0";"2";"1";"1";"0";"0"
"Boyle_AbstractInv_MS.int";"Diferen̤as para reviṣo";"21";"21";"7";"14";"0";"0";"0";"0";"14";"12";"10";"0";"0"
"boyle_ext_MS.int";"Diferen̤as para reviṣo";"12";"12";"10";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"boyle_int_MS.int";"Id̻ntico";"12";"12";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Boyle_Objectives.int";"Diferen̤as para reviṣo";"65";"65";"34";"31";"0";"0";"0";"0";"31";"18";"17";"0";"0"
"Boyle_Twk.int";"Diferen̤as para reviṣo";"66";"67";"56";"10";"0";"1";"0";"0";"10";"10";"10";"0";"0"
"Bridge_Abstract.int";"Diferen̤as para reviṣo";"21";"21";"9";"12";"0";"0";"0";"0";"12";"12";"13";"0";"0"
"Bridge_MS.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bridge_Objectives.int";"Diferen̤as para reviṣo";"35";"35";"19";"16";"0";"0";"0";"0";"16";"6";"7";"1";"1"
"Bridge_Tweaks.int";"Diferen̤as para reviṣo";"24";"24";"17";"7";"0";"0";"0";"0";"7";"3";"0";"0";"0"
"Bridge_Twk.int";"Diferen̤as para reviṣo";"105";"105";"91";"14";"0";"0";"0";"0";"14";"6";"3";"4";"4"
"Brothel_Objectives.int";"Diferen̤as para reviṣo";"48";"48";"25";"23";"0";"0";"0";"0";"23";"21";"20";"0";"0"
"Brothel_Tweak.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Brothel_Twk.int";"Diferen̤as para reviṣo";"40";"41";"31";"9";"0";"1";"0";"0";"9";"8";"5";"0";"0"
"ChainGauntlet_Script_MS.int";"Diferen̤as para reviṣo";"24";"24";"6";"18";"0";"0";"0";"0";"18";"0";"8";"3";"1"
"ChainKill_Script_MS.int";"Diferen̤as para reviṣo";"35";"35";"13";"22";"0";"0";"0";"0";"22";"0";"13";"6";"1"
"ChapterNotes_twk.int";"Diferen̤as para reviṣo";"417";"417";"186";"231";"0";"0";"0";"0";"231";"222";"217";"2";"2"
"Climbable_Twk.int";"Diferen̤as para reviṣo";"61";"61";"56";"5";"0";"0";"0";"0";"5";"0";"0";"0";"0"
"Components_twk.int";"Diferen̤as para reviṣo";"56";"56";"55";"1";"0";"0";"0";"0";"1";"6";"6";"0";"0"
"Countdown_MS.int";"Diferen̤as para reviṣo";"10";"10";"6";"4";"0";"0";"0";"0";"4";"0";"2";"2";"0"
"Descriptions.int";"Diferen̤as para reviṣo";"3";"3";"0";"3";"0";"0";"0";"0";"3";"2";"3";"0";"0"
"DishonoredEditor.int";"Diferen̤as para reviṣo";"90";"90";"1";"89";"0";"0";"0";"0";"89";"0";"52";"30";"0"
"DishonoredGame.int";"Diferen̤as para reviṣo";"590";"1178";"161";"233";"196";"784";"0";"0";"233";"176";"174";"1";"2"
"Distillery_MS.int";"Diferen̤as para reviṣo";"19";"19";"18";"1";"0";"0";"0";"0";"1";"2";"2";"0";"0"
"DLC05_01.int";"Diferen̤as para reviṣo";"15";"15";"6";"9";"0";"0";"0";"0";"9";"0";"2";"5";"0"
"DLC05_Accuracy.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"2";"2";"0"
"DLC05_BendTimeMassacre.int";"Diferen̤as para reviṣo";"42";"42";"18";"24";"0";"0";"0";"0";"24";"0";"19";"11";"0"
"DLC05_bootcamp.int";"Diferen̤as para reviṣo";"42";"42";"20";"22";"0";"0";"0";"0";"22";"0";"8";"19";"4"
"DLC05_CatchMeIfYouCan.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"0";"1";"0"
"DLC05_ChainGauntlet.int";"Diferen̤as para reviṣo";"8";"8";"3";"5";"0";"0";"0";"0";"5";"0";"1";"1";"1"
"DLC05_ChainKill.int";"Diferen̤as para reviṣo";"44";"44";"18";"26";"0";"0";"0";"0";"26";"0";"16";"3";"0"
