"Arquivo";"Tipo";"Secao";"Chave";"LinhaTribo";"LinhaDeepSeek";"Tribo";"DeepSeek";"IdiomaTribo";"IdiomaDeepSeek"
"ArtDealer_MS.int";"Tribo vazio / DeepSeek preenchido";"door_small_fixed_twk DisTweaks_Door";"m_UnlockInteractText";"8";"8";"""""";"""`GBA_Use` Desbloquear""";"Indeterminado";"Indeterminado"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Notes.DisclaimerExpert_AbstrInv1 DisAbstractItem";"m_Description";"4";"4";"""Armed with just a crossbow, proceed through the level and shoot your targets as fast as possible while avoiding to shoot civilians.\n\nThis challenge will test your mobility and your accuracy. \nThe area is full of enemies and hazards.\nEach room is sealed until you shoot every target in it. \nYour Crossbow has an infinite amount of bolts.\n\nScoring:\n* The faster you make it to the end, the more points you score.\n* Be accurate - aim for the head! - and shoot enemies with flair for a better score.\n* Shooting Civilians subtracts from your score.\n\nGame Over: \nThe challenge is over if you die.""";"""Armado apenas com uma besta, avance pelo nível e atire em seus alvos o mais rápido possível, evitando acertar civis.";"EN";"PT"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Notes.DisclaimerExpert_AbstrInv1 DisAbstractItem";"m_ItemName";"2";"2";"""Assassin's Run""";"""Corrida do Assassino""";"Indeterminado";"PT"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Pwn_AristoParty_1:DisTweaks_InteractableInterface_5 DisTweaks_InteractableInterface";"m_Name";"11";"24";"""Civilian""";"""Civil""";"Indeterminado";"Indeterminado"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Twk_Inv_CrossbowCorvoTraining:DisTweaks_InventoryItem_PlayerSpecific_1 DisTweaks_InventoryItem_PlayerSpecific";"m_Description";"15";"28";"""A silent, exotic weapon crafted from the finest materials. Used to launch bolts, sleep darts and incendiary missiles.""";"""Uma arma exótica e silenciosa, forjada com os melhores materiais. Usada para disparar virotes, dardos soníferos e mísseis incendiários.""";"EN";"PT"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Twk_Inv_CrossbowCorvoTraining:DisTweaks_InventoryItem_PlayerSpecific_1 DisTweaks_InventoryItem_PlayerSpecific";"m_Name";"14";"27";"""Corvo's Crossbow""";"""Besta do Corvo""";"Indeterminado";"PT"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Twk_Inv_PistolCorvoTraining:DisTweaks_InventoryItem_PlayerSpecific_0 DisTweaks_InventoryItem_PlayerSpecific";"m_Description";"19";"32";"""Master-crafted with customization in mind, this is the best firearm across the Isles. Allows pistol upgrades and adds short-range spread damage.""";"""Feita à mestre com personalização em mente, esta é a melhor arma de fogo das Ilhas. Permite melhorias de pistola e adiciona dano de dispersão de curto alcance.""";"EN";"PT/Misto"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Twk_Inv_PistolCorvoTraining:DisTweaks_InventoryItem_PlayerSpecific_0 DisTweaks_InventoryItem_PlayerSpecific";"m_Name";"18";"31";"""Corvo's Pistol""";"""Pistola do Corvo""";"Indeterminado";"PT"
"AssassinsTraining_MS.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"Twk_Pawn_1:DisTweaks_InteractableInterface_14 DisTweaks_InteractableInterface";"m_Name";"22";"35";"""Civilian""";"""Civil""";"Indeterminado";"Indeterminado"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Bridge_Sokolov DisAbstractItemAudioLog";"m_Description";"4";"4";"""Sokolov grava os resultados de suas pesquisas e experiências com a cobaia humana, uma mulher detida pela Guarda da Cidade e aprisionada na casa de Sokolov.""";"""Sokolov registra os resultados de sua pesquisa e experimentação em um sujeito de teste humano, uma mulher apreendida pela Guarda da Cidade e agora aprisionada na casa de Sokolov.""";"PT/Misto";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Bridge_Sokolov DisAbstractItemAudioLog";"m_ItemName";"2";"2";"""Observações de Sokolov com a Cobaia 312""";"""Observações de Sokolov sobre o Sujeito de Teste 312""";"PT/Misto";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Brothel_SlackJaw DisAbstractItemAudioLog";"m_Description";"9";"9";"""Slackjaw, sou eu, Crowley. Estou gravando isso, no caso de eu não voltar. Você tinha razão, Alguém quer você morto. A Gangue da Bottle Street quer pegar a destilaria. E você não vai acreditar em quem seja. Eu também não, no começo, por isso demorei tanto. Queria ter certeza. Mas já tenho certeza. É... Ei...  Mas o que-?! Ahh! Não! Nããoo - ahhhhh! (Sons de violência que param bruscamente.)""";"""Slackjaw, sou eu, o Crowley. Tô gravando isso caso eu não volte. Você tava certo, tem alguém querendo você morto. Quer tomar a destilaria - toda a Gangue da Rua da Garrafa. E você nunca vai adivinhar quem é também. No começo eu não acreditei - por isso que demorei tanto. Queria ter certeza e tal. E agora tenho. Certeza absoluta. Aqui tá o nome. É - ei - o que é aqu-?! Ahh! Não! Nãããããão - ahhhhh! (Sons de violência que cessam abruptamente.)""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Brothel_SlackJaw DisAbstractItemAudioLog";"m_ItemName";"7";"7";"""Últimas Palavras de Crowley""";"""Última Mensagem de Crowley""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_DaudRegentDead DisAbstractItemAudioLog";"m_Description";"14";"14";"""Comentários de Daud sobre o destino do Lorde Regente.""";"""Daud comenta sobre o destino do Lorde Regente.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_DaudRegentLives DisAbstractItemAudioLog";"m_Description";"19";"19";"""Comentários de Daud sobre o destino do Lorde Regente.""";"""Daud comenta sobre o destino do Lorde Regente.""";"PT";"PT"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Galvani_RatSpeculation DisAbstractItemAudioLog";"m_Description";"24";"24";"""Galvani especula sobre a origem dos ratos portadores da peste.""";"""Galvani especula sobre a origem dos ratos da peste.""";"PT/Misto";"PT/Misto"
"AudioGraph_Twk.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"AbstractInv_Graphs.AG_Galvani_RatSpeculation DisAbstractItemAudioLog";"m_ItemName";"22";"22";"""Especulações de Galvani""";"""A Especulação de Galvani""";"PT";"PT"
