"Origem";"Arquivo";"Codificacao";"BytesOriginais";"Status";"Destino"
"Tribo";"ArtDealer_MS.int";"UTF-8";"963";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\ArtDealer_MS.int"
"Tribo";"AssassinsTraining_MS.int";"UTF-16 LE";"3260";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\AssassinsTraining_MS.int"
"Tribo";"AudioGraph_Assets.int";"UTF-8";"566";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\AudioGraph_Assets.int"
"Tribo";"AudioGraph_Twk.int";"UTF-8";"12758";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\AudioGraph_Twk.int"
"Tribo";"BendTimeMassacre_MS_Tweak.int";"UTF-16 LE";"4100";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\BendTimeMassacre_MS_Tweak.int"
"Tribo";"Blueprints_twk.int";"UTF-8";"3025";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Blueprints_twk.int"
"Tribo";"Blueprints_twk_Abst.int";"UTF-8";"2471";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Blueprints_twk_Abst.int"
"Tribo";"Boyle_AbstractInv_Assets.int";"UTF-8";"2684";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Boyle_AbstractInv_Assets.int"
"Tribo";"Boyle_AbstractInv_MS.int";"UTF-8";"1089";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Boyle_AbstractInv_MS.int"
"Tribo";"boyle_ext_MS.int";"UTF-8";"496";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\boyle_ext_MS.int"
"Tribo";"boyle_int_MS.int";"UTF-8";"450";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\boyle_int_MS.int"
"Tribo";"Boyle_Objectives.int";"UTF-8";"4736";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Boyle_Objectives.int"
"Tribo";"Boyle_Twk.int";"UTF-8";"2900";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Boyle_Twk.int"
"Tribo";"Bridge_Abstract.int";"UTF-8";"3664";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Bridge_Abstract.int"
"Tribo";"Bridge_MS.int";"UTF-8";"237";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Bridge_MS.int"
"Tribo";"Bridge_Objectives.int";"UTF-8";"2441";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Bridge_Objectives.int"
"Tribo";"Bridge_Tweaks.int";"UTF-16 LE";"2218";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Bridge_Tweaks.int"
"Tribo";"Bridge_Twk.int";"UTF-8";"4549";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Bridge_Twk.int"
"Tribo";"Brothel_Objectives.int";"UTF-8";"3648";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Brothel_Objectives.int"
"Tribo";"Brothel_Tweak.int";"UTF-16 LE";"766";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Brothel_Tweak.int"
"Tribo";"Brothel_Twk.int";"UTF-16 LE";"3720";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Brothel_Twk.int"
"Tribo";"ChainGauntlet_Script_MS.int";"UTF-16 LE";"6256";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\ChainGauntlet_Script_MS.int"
"Tribo";"ChainKill_Script_MS.int";"UTF-16 LE";"5984";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\ChainKill_Script_MS.int"
"Tribo";"ChapterNotes_twk.int";"UTF-16 LE";"68090";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\ChapterNotes_twk.int"
"Tribo";"Climbable_Twk.int";"UTF-8";"2427";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Climbable_Twk.int"
"Tribo";"Components_twk.int";"UTF-8";"2634";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Components_twk.int"
"Tribo";"Countdown_MS.int";"UTF-16 LE";"3960";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Countdown_MS.int"
"Tribo";"Descriptions.int";"UTF-16 LE";"322";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Descriptions.int"
"Tribo";"DishonoredEditor.int";"UTF-16 LE";"11216";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DishonoredEditor.int"
"Tribo";"DishonoredGame.int";"UTF-16 LE";"90822";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DishonoredGame.int"
"Tribo";"Distillery_MS.int";"UTF-8";"793";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\Distillery_MS.int"
"Tribo";"DLC05_01.int";"UTF-16 LE";"2008";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_01.int"
"Tribo";"DLC05_Accuracy.int";"UTF-16 LE";"456";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_Accuracy.int"
"Tribo";"DLC05_BendTimeMassacre.int";"UTF-16 LE";"6984";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_BendTimeMassacre.int"
"Tribo";"DLC05_bootcamp.int";"UTF-16 LE";"5250";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_bootcamp.int"
"Tribo";"DLC05_CatchMeIfYouCan.int";"UTF-16 LE";"386";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_CatchMeIfYouCan.int"
"Tribo";"DLC05_ChainGauntlet.int";"UTF-16 LE";"974";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_ChainGauntlet.int"
"Tribo";"DLC05_ChainKill.int";"UTF-16 LE";"6278";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_ChainKill.int"
"Tribo";"DLC05_Countdown.int";"UTF-16 LE";"538";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_Countdown.int"
"Tribo";"DLC05_infiltrate01.int";"UTF-16 LE";"962";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_infiltrate01.int"
"Tribo";"DLC05_movable_twk.int";"UTF-16 LE";"994";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_movable_twk.int"
"Tribo";"DLC05_MysteryMan.int";"UTF-16 LE";"2344";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_MysteryMan.int"
"Tribo";"DLC05_race01.int";"UTF-16 LE";"412";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_race01.int"
"Tribo";"DLC05_TheThreeKeys.int";"UTF-16 LE";"2572";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_TheThreeKeys.int"
"Tribo";"DLC05_Thief.int";"UTF-16 LE";"3146";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_Thief.int"
"Tribo";"DLC05_usable_twk.int";"UTF-16 LE";"530";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC05_usable_twk.int"
"Tribo";"DLC06_Assault_Objectives.int";"UTF-16 LE";"12250";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Assault_Objectives.int"
"Tribo";"DLC06_Attach_Butcher.int";"UTF-16 LE";"1236";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Attach_Butcher.int"
"Tribo";"DLC06_AudioGraph_Twk.int";"UTF-16 LE";"2360";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_AudioGraph_Twk.int"
"Tribo";"DLC06_Blueprints_seekfree.int";"UTF-16 LE";"2192";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Blueprints_seekfree.int"
"Tribo";"DLC06_Blueprints_twk.int";"UTF-16 LE";"1086";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Blueprints_twk.int"
"Tribo";"DLC06_ChapterInfoList.int";"UTF-16 LE";"3554";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_ChapterInfoList.int"
"Tribo";"DLC06_ChapterNotes_twk.int";"UTF-16 LE";"13992";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_ChapterNotes_twk.int"
"Tribo";"DLC06_DaudBase_Script.INT";"UTF-16 LE";"8980";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_DaudBase_Script.INT"
"Tribo";"DLC06_DaudsBase_AbsInv_MS.int";"UTF-16 LE";"4956";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_DaudsBase_AbsInv_MS.int"
"Tribo";"DLC06_DaudsBase_MS.int";"UTF-16 LE";"2540";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_DaudsBase_MS.int"
"Tribo";"DLC06_DishonoredGameFull_P.INT";"UTF-16 LE";"406";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_DishonoredGameFull_P.INT"
"Tribo";"DLC06_Intro_MS_Abst.int";"UTF-16 LE";"1176";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Intro_MS_Abst.int"
"Tribo";"DLC06_Intro_Objectives.int";"UTF-16 LE";"928";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Intro_Objectives.int"
"Tribo";"DLC06_Inv_ArcMine.int";"UTF-16 LE";"1898";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Inv_ArcMine.int"
"Tribo";"DLC06_Inv_CleaverButcher.int";"UTF-16 LE";"274";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Inv_CleaverButcher.int"
"Tribo";"DLC06_Inv_NPC_Butcher.int";"UTF-16 LE";"300";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Inv_NPC_Butcher.int"
"Tribo";"DLC06_Inv_SumAssassin.int";"UTF-16 LE";"222";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Inv_SumAssassin.int"
"Tribo";"DLC06_LocationMaps_Assets.int";"UTF-16 LE";"6730";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_LocationMaps_Assets.int"
"Tribo";"DLC06_MissionStats.int";"UTF-16 LE";"4044";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_MissionStats.int"
"Tribo";"DLC06_Notes_Slaughter.int";"UTF-16 LE";"24340";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Notes_Slaughter.int"
"Tribo";"DLC06_Pckp_Ammo.int";"UTF-16 LE";"798";"OK";"C:\Users\Usuario\Documents\GitHub\dishonored-traducao-analise\Tribo_INT_UTF8\DLC06_Pckp_Ammo.int"
